gen,elapsed_sec,evals_total,engine,metrics
44,0.08138489723205566,9000,"{'gen': 45, 'best_fitness': -2.4470132143431904, 'mean_fitness': -4.501453850096755, 'pop_size': 200}",{}
45,0.08320879936218262,9200,"{'gen': 46, 'best_fitness': -2.2862409145805738, 'mean_fitness': -4.226395086148901, 'pop_size': 200}",{}
46,0.08503484725952148,9400,"{'gen': 47, 'best_fitness': -1.6710118044050648, 'mean_fitness': -3.935831644865766, 'pop_size': 200}",{}
47,0.08684587478637695,9600,"{'gen': 48, 'best_fitness': -1.4489760558321112, 'mean_fitness': -3.6431368476217876, 'pop_size': 200}",{}
48,0.08866691589355469,9800,"{'gen': 49, 'best_fitness': -1.2361878979194143, 'mean_fitness': -3.5063541521246537, 'pop_size': 200}",{}
49,0.09048175811767578,10000,"{'gen': 50, 'best_fitness': -1.5535207856491968, 'mean_fitness': -3.1280286642092214, 'pop_size': 200}",{}
50,0.09229898452758789,10200,"{'gen': 51, 'best_fitness': -1.1022101080463091, 'mean_fitness': -2.9184103198259455, 'pop_size': 200}",{}
51,0.09411787986755371,10400,"{'gen': 52, 'best_fitness': -1.1735539849528611, 'mean_fitness': -2.7667938181614784, 'pop_size': 200}",{}
52,0.09594392776489258,10600,"{'gen': 53, 'best_fitness': -1.1135413099497353, 'mean_fitness': -2.6214940523443047, 'pop_size': 200}",{}
53,0.09768867492675781,10800,"{'gen': 54, 'best_fitness': -0.9580082371229289, 'mean_fitness': -2.5514308376829367, 'pop_size': 200}",{}
54,0.09940981864929199,11000,"{'gen': 55, 'best_fitness': -1.043740580119633, 'mean_fitness': -2.369155444381241, 'pop_size': 200}",{}
55,0.10123181343078613,11200,"{'gen': 56, 'best_fitness': -0.6464404372758599, 'mean_fitness': -2.208069156130846, 'pop_size': 200}",{}
56,0.10305380821228027,11400,"{'gen': 57, 'best_fitness': -0.8746079632970939, 'mean_fitness': -2.1104245652957747, 'pop_size': 200}",{}
57,0.1048738956451416,11600,"{'gen': 58, 'best_fitness': -0.9500568717885453, 'mean_fitness': -2.106943445831571, 'pop_size': 200}",{}
58,0.1066439151763916,11800,"{'gen': 59, 'best_fitness': -0.775280193714249, 'mean_fitness': -2.0335325357385106, 'pop_size': 200}",{}
59,0.10836291313171387,12000,"{'gen': 60, 'best_fitness': -0.7046385164567205, 'mean_fitness': -1.9968804449141526, 'pop_size': 200}",{}
60,0.11017584800720215,12200,"{'gen': 61, 'best_fitness': -0.7478539688453157, 'mean_fitness': -2.025352373022534, 'pop_size': 200}",{}
61,0.11200189590454102,12400,"{'gen': 62, 'best_fitness': -0.7474321327920717, 'mean_fitness': -2.0099596862998563, 'pop_size': 200}",{}
62,0.11385869979858398,12600,"{'gen': 63, 'best_fitness': -0.6263360517822707, 'mean_fitness': -1.9772010967039113, 'pop_size': 200}",{}
63,0.11568880081176758,12800,"{'gen': 64, 'best_fitness': -0.8264695936884837, 'mean_fitness': -1.9561085799337314, 'pop_size': 200}",{}
64,0.11750602722167969,13000,"{'gen': 65, 'best_fitness': -0.8117047637324815, 'mean_fitness': -1.9812129807286225, 'pop_size': 200}",{}
65,0.11928486824035645,13200,"{'gen': 66, 'best_fitness': -0.6352987793436417, 'mean_fitness': -2.028663765215189, 'pop_size': 200}",{}
66,0.1210176944732666,13400,"{'gen': 67, 'best_fitness': -0.4800349102961392, 'mean_fitness': -2.0463793056927084, 'pop_size': 200}",{}
67,0.12283682823181152,13600,"{'gen': 68, 'best_fitness': -0.556745543470507, 'mean_fitness': -2.0691157828133617, 'pop_size': 200}",{}
68,0.12466287612915039,13800,"{'gen': 69, 'best_fitness': -0.5651430986837062, 'mean_fitness': -2.015014459050581, 'pop_size': 200}",{}
69,0.12648987770080566,14000,"{'gen': 70, 'best_fitness': -0.510554482955902, 'mean_fitness': -1.9510041051907794, 'pop_size': 200}",{}
70,0.12822294235229492,14200,"{'gen': 71, 'best_fitness': -0.7554583197666668, 'mean_fitness': -1.879928988629136, 'pop_size': 200}",{}
