engine.pop_size,engine.mean_fitness,engine.best_fitness,engine.gen,evals_total,elapsed_sec,gen
100,-117.73572279076845,-96.82604640114774,1,100,3.6097970008850098,0
100,-106.71654280734724,-72.46381234700395,2,200,6.098834991455078,1
100,-105.49227957790882,-68.94070204855768,3,300,10.322593212127686,2
100,-105.48749499519408,-69.86425009876763,4,400,16.400163888931274,3
100,-101.6572298618829,-63.22102839152107,5,500,22.24691390991211,4
100,-99.41169387423427,-60.383677666779036,6,600,28.259501934051514,5
100,-97.53233012976052,-58.04101801564932,7,700,34.832334995269775,6
100,-94.45130777392147,-40.46361489928738,8,800,43.387645959854126,7
100,-91.99300111436756,-45.09967310404992,9,900,52.911054849624634,8
100,-92.31772771025277,-38.66511600377804,10,1000,62.71171808242798,9
100,-85.60509601593394,-46.37849883286342,11,1100,73.50343894958496,10
100,-92.92954927394813,-41.489508132579466,12,1200,82.1288390159607,11
100,-84.19341187789487,-33.09977597852009,13,1300,93.39222311973572,12
100,-83.14531253020485,-8.918811110702203,14,1400,104.45821905136108,13
100,-79.13527943241438,7.5517778002002975,15,1500,115.18865203857422,14
100,-81.62000952296715,7.683209316358225,16,1600,125.45437502861023,15
100,-72.45813963930533,0.8491909955369888,17,1700,138.16416597366333,16
100,-72.1783483545535,1.0866799797471414,18,1800,150.93715691566467,17
100,-71.00947114052047,26.2475162204403,19,1900,163.38991284370422,18
100,-81.38182389272902,-3.9327565760331584,20,2000,175.07989311218262,19
100,-72.45073047771479,25.59128059676386,21,2100,187.65343284606934,20
100,-69.83069881216899,34.2324175235273,22,2200,199.87041807174683,21
100,-73.70493961443704,20.646852651183817,23,2300,211.32258009910583,22
100,-66.28514086678396,34.92854421729207,24,2400,223.4457290172577,23
100,-69.72405971681455,38.21737190444278,25,2500,234.36379194259644,24
100,-67.08449294778947,24.822124001345724,26,2600,245.78020691871643,25
100,-68.07001610321606,49.158777706149024,27,2700,257.22894406318665,26
100,-61.07194344640636,62.307060763490576,28,2800,269.16810607910156,27
100,-64.471386470435,72.95683713376542,29,2900,282.5817198753357,28
