engine.pop_size,engine.mean_fitness,engine.best_fitness,engine.gen,evals_total,elapsed_sec,gen
64,-119.55251315168903,-99.07202188945251,1,64,2.6133010387420654,0
64,-108.3806785854459,-96.04933916986019,2,128,3.9478700160980225,1
64,-106.02934119060288,-96.68743004922491,3,192,5.2023561000823975,2
64,-100.2485992677004,-94.2833811038981,4,256,6.254261016845703,3
64,-101.3755576383905,-95.81467744698887,5,320,7.033362150192261,4
64,-102.99624883033145,-94.34975871691232,6,384,7.585963010787964,5
64,-101.46924784228676,-94.46900956435005,7,448,8.388265132904053,6
64,-100.77756691859679,-95.60429819561602,8,512,8.902909278869629,7
64,-101.05575403018571,-95.09859364964906,9,576,9.541560173034668,8
64,-102.12544254421027,-93.33188750066236,10,640,10.036412239074707,9
64,-102.10553057296883,-94.44132297013172,11,704,10.540511131286621,10
64,-101.46689192480255,-92.43055861878737,12,768,11.042723178863525,11
64,-103.00721409195117,-93.75229590755204,13,832,11.539655923843384,12
64,-103.69015899618392,-89.83035265810943,14,896,12.068483114242554,13
64,-101.34997853322466,-93.93746144023599,15,960,12.572381258010864,14
64,-101.62930853160059,-93.79982670759192,16,1024,13.077802181243896,15
64,-103.37508952034933,-94.80959444984607,17,1088,13.681413173675537,16
64,-101.30128455536297,-94.13432758807406,18,1152,14.141726970672607,17
64,-100.73876316876563,-94.60962251888091,19,1216,14.625076055526733,18
64,-102.87759907120449,-90.62027244144491,20,1280,15.33883023262024,19
64,-101.61924896032457,-88.98112743373402,21,1344,15.835691213607788,20
64,-102.95876472047539,-93.94528225377512,22,1408,16.369538068771362,21
64,-102.08444610489529,-92.19990369026053,23,1472,16.88191795349121,22
64,-103.23613844303674,-91.11138044129173,24,1536,17.382331132888794,23
64,-101.1954560230642,-89.60066703532823,25,1600,17.900437116622925,24
64,-102.01012666173449,-93.32377161412174,26,1664,18.412776947021484,25
64,-101.49619596005559,-91.49840828273904,27,1728,18.945404291152954,26
64,-101.41821075841501,-92.53914759049565,28,1792,19.470494985580444,27
64,-100.430024229347,-90.7429918969002,29,1856,20.019328117370605,28
64,-104.56594519125866,-92.19141457747482,30,1920,20.60627007484436,29
64,-103.25108100979594,-92.27195904577212,31,1984,21.141008138656616,30
64,-100.72933650356863,-89.46513020756653,32,2048,21.68113422393799,31
64,-103.29831018314954,-88.6426274785117,33,2112,22.215410947799683,32
64,-101.84646312298112,-89.55728115251924,34,2176,22.792636156082153,33
64,-104.6127223395982,-88.49269063963152,35,2240,23.53625226020813,34
64,-103.75129436824649,-86.83377429204334,36,2304,24.151657104492188,35
64,-102.00758522385992,-92.58864931498779,37,2368,24.763715267181396,36
64,-101.42057455944686,-90.40670067673568,38,2432,25.546871185302734,37
64,-103.87777601545345,-88.02630547119242,39,2496,26.164114236831665,38
64,-101.71279412810206,-91.96533044097417,40,2560,26.852431297302246,39
64,-103.13423621123084,-89.93715601548739,41,2624,27.563014268875122,40
64,-102.40289296848084,-88.22900167236322,42,2688,28.474491119384766,41
64,-102.9502042354386,-82.04193499822216,43,2752,29.359270334243774,42
64,-102.86308162027935,-87.87154161922882,44,2816,30.209567070007324,43
64,-102.0172700339296,-56.813958194177225,45,2880,31.753103256225586,44
64,-100.84625314263172,-61.13436600116033,46,2944,33.048712968826294,45
64,-103.6074505748905,14.467573169541346,47,3008,34.699873208999634,46
64,-103.37629244709072,-14.971122097309511,48,3072,36.07671403884888,47
64,-102.95234147854146,-50.17872834330206,49,3136,37.97816824913025,48
64,-103.45122128763184,-57.725099423139184,50,3200,40.052311182022095,49
