gen,elapsed_sec,evals_total,engine,metrics
0,0.0006649494171142578,200,"{'gen': 1, 'best_fitness': -60.46982322596662, 'mean_fitness': -166.17531782142206, 'pop_size': 200}",{}
1,0.004429817199707031,400,"{'gen': 2, 'best_fitness': -59.47329250514013, 'mean_fitness': -137.2444732451646, 'pop_size': 200}",{}
2,0.0061779022216796875,600,"{'gen': 3, 'best_fitness': -58.117740137585606, 'mean_fitness': -112.62142701339573, 'pop_size': 200}",{}
3,0.00794076919555664,800,"{'gen': 4, 'best_fitness': -55.53407828378155, 'mean_fitness': -90.34265862067721, 'pop_size': 200}",{}
4,0.009729862213134766,1000,"{'gen': 5, 'best_fitness': -54.191543281297754, 'mean_fitness': -69.66012738799887, 'pop_size': 200}",{}
5,0.01157999038696289,1200,"{'gen': 6, 'best_fitness': -51.94238768320633, 'mean_fitness': -59.65636718706888, 'pop_size': 200}",{}
6,0.013432741165161133,1400,"{'gen': 7, 'best_fitness': -48.1985927827522, 'mean_fitness': -57.14105382407557, 'pop_size': 200}",{}
7,0.015285015106201172,1600,"{'gen': 8, 'best_fitness': -43.30196407062495, 'mean_fitness': -55.05960585538207, 'pop_size': 200}",{}
8,0.017138004302978516,1800,"{'gen': 9, 'best_fitness': -45.2108032857776, 'mean_fitness': -53.31932987415441, 'pop_size': 200}",{}
9,0.019017934799194336,2000,"{'gen': 10, 'best_fitness': -42.80775247828448, 'mean_fitness': -50.920373257991926, 'pop_size': 200}",{}
10,0.020874977111816406,2200,"{'gen': 11, 'best_fitness': -40.43597587150122, 'mean_fitness': -47.926860813671226, 'pop_size': 200}",{}
11,0.022760868072509766,2400,"{'gen': 12, 'best_fitness': -37.78449494500481, 'mean_fitness': -45.32643538708116, 'pop_size': 200}",{}
12,0.02461695671081543,2600,"{'gen': 13, 'best_fitness': -36.30868182384355, 'mean_fitness': -43.14289197395363, 'pop_size': 200}",{}
13,0.026468753814697266,2800,"{'gen': 14, 'best_fitness': -34.04528941491168, 'mean_fitness': -41.2899910077435, 'pop_size': 200}",{}
14,0.02833271026611328,3000,"{'gen': 15, 'best_fitness': -32.44368422038988, 'mean_fitness': -39.41332725326236, 'pop_size': 200}",{}
15,0.030168771743774414,3200,"{'gen': 16, 'best_fitness': -29.89124639231612, 'mean_fitness': -37.62515889791073, 'pop_size': 200}",{}
16,0.03201007843017578,3400,"{'gen': 17, 'best_fitness': -29.485721604522887, 'mean_fitness': -35.52286533133482, 'pop_size': 200}",{}
17,0.03388381004333496,3600,"{'gen': 18, 'best_fitness': -27.193646940436143, 'mean_fitness': -33.52234026775313, 'pop_size': 200}",{}
18,0.035736799240112305,3800,"{'gen': 19, 'best_fitness': -24.355696520517498, 'mean_fitness': -32.05341792749719, 'pop_size': 200}",{}
19,0.037590980529785156,4000,"{'gen': 20, 'best_fitness': -22.81788539636882, 'mean_fitness': -29.90192448123579, 'pop_size': 200}",{}
20,0.03946280479431152,4200,"{'gen': 21, 'best_fitness': -21.997479222381344, 'mean_fitness': -28.361420365181193, 'pop_size': 200}",{}
21,0.041304826736450195,4400,"{'gen': 22, 'best_fitness': -20.603877172046772, 'mean_fitness': -26.54783874356589, 'pop_size': 200}",{}
22,0.043144941329956055,4600,"{'gen': 23, 'best_fitness': -19.704915641855106, 'mean_fitness': -25.024126524211425, 'pop_size': 200}",{}
23,0.044992923736572266,4800,"{'gen': 24, 'best_fitness': -16.2941408068618, 'mean_fitness': -23.581069843856767, 'pop_size': 200}",{}
24,0.04684185981750488,5000,"{'gen': 25, 'best_fitness': -16.03234675423825, 'mean_fitness': -22.396475045529215, 'pop_size': 200}",{}
25,0.04867887496948242,5200,"{'gen': 26, 'best_fitness': -14.295422027411194, 'mean_fitness': -20.520411306699362, 'pop_size': 200}",{}
26,0.0505368709564209,5400,"{'gen': 27, 'best_fitness': -12.325891391481543, 'mean_fitness': -18.73599742457798, 'pop_size': 200}",{}
27,0.052375078201293945,5600,"{'gen': 28, 'best_fitness': -11.942919309462088, 'mean_fitness': -17.366130368249753, 'pop_size': 200}",{}
28,0.05421185493469238,5800,"{'gen': 29, 'best_fitness': -11.000187253852229, 'mean_fitness': -16.16195639978365, 'pop_size': 200}",{}
29,0.05606579780578613,6000,"{'gen': 30, 'best_fitness': -9.869182940851182, 'mean_fitness': -14.90485939322732, 'pop_size': 200}",{}
