gen,elapsed_sec,evals_total,best_fitness,mean_fitness
110,0.2014598846435547,22200,-0.6095656786350565,-1.8260432385804746
111,0.2032170295715332,22400,-0.6598828950951983,-1.7788900337835014
112,0.20497417449951172,22600,-0.6312344805268832,-1.7556954957174082
113,0.20673513412475586,22800,-0.7641965040663926,-1.782082063904452
114,0.20848917961120605,23000,-0.6193971665416427,-1.7499413433997475
115,0.21024107933044434,23200,-0.736981769125553,-1.8440541657754221
116,0.21199822425842285,23400,-0.4879230906212515,-1.8369939780387738
117,0.21374893188476562,23600,-0.6332684160277883,-1.7126186280369922
118,0.215501070022583,23800,-0.7934334209891141,-1.6859393694353881
119,0.21725797653198242,24000,-0.5482266740298688,-1.7164067941862342
120,0.21901202201843262,24200,-0.6765115409017778,-1.8078542307080647
121,0.22077202796936035,24400,-0.5264949962436892,-1.8805453766443343
122,0.22253108024597168,24600,-0.47025443389744004,-1.8196127353470424
123,0.2242889404296875,24800,-0.45485373449719374,-1.8460179722393435
124,0.22605013847351074,25000,-0.5306395791485871,-1.848259989478568
125,0.22780203819274902,25200,-0.6914295851175822,-1.8707380208680506
126,0.22955012321472168,25400,-0.5949537011077982,-1.861047607738409
127,0.23130106925964355,25600,-0.7038129754044814,-1.7523726914755906
128,0.23306012153625488,25800,-0.6086482703548932,-1.6746338648995687
129,0.23480606079101562,26000,-0.5201699854782093,-1.6679587486734755
130,0.2365570068359375,26200,-0.44519079243930637,-1.6409626186054629
131,0.23831701278686523,26400,-0.5604068058213805,-1.6217259177667955
132,0.2400681972503662,26600,-0.6167402812423688,-1.6600701765896497
133,0.2418222427368164,26800,-0.6795382850970255,-1.6756053949998273
134,0.2435750961303711,27000,-0.40970011767500375,-1.6747081086627305
135,0.24533390998840332,27200,-0.533255280182456,-1.7443641610472571
136,0.2470860481262207,27400,-0.5158327897939721,-1.756496300459114
137,0.24883604049682617,27600,-0.6683669898705132,-1.7970711888118975
138,0.2505829334259033,27800,-0.7154594193645578,-1.8582718575862651
139,0.2523319721221924,28000,-0.7020508962799809,-1.9055538733737085
140,0.2540910243988037,28200,-0.4696103904822945,-1.9266578137470816
141,0.25585103034973145,28400,-0.44499289352998117,-1.8550335687487172
142,0.25760817527770996,28600,-0.589558314149218,-1.8681239394050693
143,0.2593672275543213,28800,-0.585154100186761,-1.8812806813551526
144,0.26111721992492676,29000,-0.5376152184839815,-1.8490945779659516
145,0.26287007331848145,29200,-0.5027351787766499,-1.7673235688491973
146,0.26462888717651367,29400,-0.5106564895894787,-1.792739019743843
147,0.2663841247558594,29600,-0.5945877949032856,-1.7610392246968345
148,0.2691659927368164,29800,-0.7326261087032141,-1.806356077513161
149,0.270859956741333,30000,-0.5875743237131005,-1.845813391725572
150,0.27254509925842285,30200,-0.535527226108253,-1.9223669583675806
151,0.2742271423339844,30400,-0.625464681391072,-1.8345852868251382
152,0.2759721279144287,30600,-0.8454704922773589,-1.8741479189542118
153,0.2777731418609619,30800,-0.6514450430308032,-1.8862528958141715
154,0.27959609031677246,31000,-0.6424098835039804,-1.8205057008672094
155,0.2814052104949951,31200,-0.8846910742813067,-1.8451787877372234
156,0.2832019329071045,31400,-0.5960141035745999,-1.8659564673687625
157,0.28499913215637207,31600,-0.7150787032825668,-1.9277369031583393
158,0.2868170738220215,31800,-0.5655922611674494,-1.9371979451775543
159,0.2886080741882324,32000,-0.5792776400301988,-1.8979347880989657
160,0.29041194915771484,32200,-0.7440067912256226,-1.8799766943195606
161,0.2922091484069824,32400,-0.6250386883274044,-1.8804277129981242
162,0.2940070629119873,32600,-0.5258287339283816,-1.8503972946386216
163,0.2958061695098877,32800,-0.5096887554468552,-1.8266454153807223
164,0.2976062297821045,33000,-0.4169867268390477,-1.8105157269383665
165,0.2994101047515869,33200,-0.6346737165850492,-1.8080843183229995
166,0.30121326446533203,33400,-0.5212344572029474,-1.805768899640097
167,0.3030130863189697,33600,-0.6687617467061124,-1.850157004481003
168,0.30481410026550293,33800,-0.781941040782797,-1.8675911036762387
169,0.3066120147705078,34000,-0.6144798110737848,-1.871063544268729
170,0.3084080219268799,34200,-0.6634376437496234,-1.8681759913732676
171,0.3102121353149414,34400,-0.667372576168779,-1.873048592505383
172,0.31200313568115234,34600,-0.6682861229611393,-1.839223133260698
173,0.3137969970703125,34800,-0.5409413705326346,-1.7867797654775819
174,0.3155970573425293,35000,-0.6466515794070834,-1.850412062556857
175,0.3173990249633789,35200,-0.6988418020371725,-1.8955944599691998
176,0.3192009925842285,35400,-0.8596241386324198,-1.9098930050778318
177,0.32100915908813477,35600,-0.4374062733460788,-1.991777988847732
178,0.32281017303466797,35800,-0.6312786238589443,-1.94433070967525
179,0.3246030807495117,36000,-0.6026653809295521,-1.9323723967058128
180,0.32640814781188965,36200,-0.6852226442619085,-1.826433496504722
181,0.32820606231689453,36400,-0.6444903978017031,-1.7260645785927307
182,0.3300049304962158,36600,-0.45896160638385886,-1.690423397045263
183,0.33180689811706543,36800,-0.5795748564230343,-1.715769256108635
184,0.333604097366333,37000,-0.6181790929021787,-1.789606113197961
185,0.3354060649871826,37200,-0.6473946840274599,-1.8102475924703743
186,0.3372049331665039,37400,-0.6865229507189017,-1.8047028605065134
187,0.3390052318572998,37600,-0.6382049717256734,-1.8128027991409343
188,0.3408050537109375,37800,-0.5810903448820947,-1.761147528984655
189,0.34259819984436035,38000,-0.4667077034306484,-1.7684079576784775
190,0.34440112113952637,38200,-0.5932273319126847,-1.7468558417467457
191,0.3461942672729492,38400,-0.6478457549752061,-1.78321960930268
192,0.347991943359375,38600,-0.4528861925922298,-1.7644542474274119
193,0.3497929573059082,38800,-0.5681616752468079,-1.758669765434323
194,0.3515892028808594,39000,-0.44457328869125357,-1.752444522799558
195,0.35338711738586426,39200,-0.4835887548492644,-1.7432980007362804
196,0.35518312454223633,39400,-0.6717849888940135,-1.7582903989782508
197,0.3569810390472412,39600,-0.661860653213463,-1.7272980634508708
198,0.35877108573913574,39800,-0.666533111344754,-1.678841346794611
199,0.3605649471282959,40000,-0.7590592156107681,-1.769321492909288
